Location,Classification,GPS Coordinates,Full Description,Story 1,Story 2,Connected locations
Birds Hill,Traditional Settlement,"49.98134379957246, -97.0086806281622","The Town of Birds Hill and the modern day Birds Hill Provincial Park were named after the Bird
family who owned land in the vicinity. Their family history is representative of those who settled
along the Red River in the early 19th century.
James Curtis Bird came to Rupert's Land in 1788 to work as a writer with the Hudson's Bay
Company. During his 36 years in service, he moved up in rank to become Chief Factor of the
Red River District and by 1819 it was said that he had more knowledge of the country than all
the Hudson's Bay Company officers put together.
James Bird married several times, fathering 15 children. When James retired in 1824 he received
a land grant from the company of 1,215 hectares (3,000 acres) on the east side of the Red River.
Registered as River Lot 95, the property extended east from the river for about 6.4 km (4 mi.),
taking in the hill area now known as the town of Birds Hill. On the banks of the Red, James built
his home which came to be called ""the White Cottage."" The Red River served as the main
transportation route at that time.
The park area was referred to as “the Pines” or “Pine Ridge” by the Bird family, as well as other
settlers along the Red River. The river lots north of the Bird property extended into what is now
the western edge of the park and provided settlers with abundant game and a wealth of natural
materials. Roof trusses and fences were built from the oak, ash, spruce, cedar and tamarack trees.
It was here, too, that settlers, fur traders and wildlife found refuge from spring flooding in the
Red River valley. During the great floods of 1826 and 1852, which threatened the very survival
of the Red River settlement, entire families camped on high ground with their livestock and
possessions.",,,
Birsay Village or Orkney Town,Traditional Settlement,"49.91194148405904, -97.53948776615589","When Peter Fidler (1769-1822) made a map of the Red River District, he recording the
settlement of Birsay Village west of Fort Douglas on the Assiniboine River which was built by a
group of Métis freemen, some of whom had previously lived in the Brandon House area. Birsay
Village is along the Assiniboine River midway between Lyon Island and Kettle Plain. The vast
majority of the freeman were Orkney-Cree Michif who worked for the French trading
companies. Many of the freemen had lived long enough in the North West to be free of their
company’s contracts, and to be regarded as permanent inhabitants of the region. Some had been
in the North West trade since 1770. The Hudson Bay Company freemen were far fewer as the
company policy was to return servants to Europe when their contract expired. A few former
H.B.C. servants, however, had settled in the vicinity of Brandon House, living with the Cree
nearly in the same manner as the free Canadians of Red River did with the Ojibwa. Not
surprising, most of the Hudson Bay freemen are natives of the Orkney Isles which had supplied
the HBC with 75 percent of the servants by 1800.
Peter Fidler suggested that these Orkney freemen were servants who had been dismissed for
various misdemeanors and acts of insubordination, rather than servants whose contracts had
expired. For example, John Lyons was set free in August 1816 for refusing to accompany James
Inkster on a trip to Indian Elbow on the upper Assiniboine. Humphrey Favel was set free on
account of his bad behaviour toward John McLeod at Red River in 1815; Thomas Favel, a Métis
(1780-1848), was released because of his refusal to go with Peter Fidler to Jack River at the
northern end of Lake Winnipeg in 1815; Magnus Spence, in service since 1783, became free in
1815 as well. Jack Spence, son of Magnus Spence, was sent to explore Red River for possible
sites for an Orkney Colony. He was the one who selected the Birsay site, three miles above the
White Horse Plain, or twenty-two miles above the forks.
Magnus Spence, in the service of the Company since 1783, became free in 1815 and appears to
be the leader and eldest of this group. Birsay was the home parish of Magnus Spence in the
Orkneys. This group moved from Brandon house to the Assiniboine, just three miles north of the
White Horse Plains, during the winter of 1817-1818 to adopt a more sedentary way of life. Peter
Fidler, in the spring, had counted eight males, two females and thirteen children: six boys and
seven girls. Only Magnus Spence and James Monkman had a wife and family listed against their
names. Later in the year, more Métis came in from the buffalo hunt, having laid up a good stock,
and some of them are moving to the spots where they intend to build.
Whooping cough and measles hit Orkney Town, and James Sandison lost two children on
August 4. Owman Norquay b-1775 lost one child, and -Oman Norquay (1773-1820) died. To
add to their misery, swarms of grasshoppers destroyed their crops. Orkney Town was abandoned
by mid-September, 1819. The 1827 census suggests they were absorbed into the main Red River
Colony. The French Canadian Freeman and Métis of Pembina quickly moved in to the
settlement at Orkney Town.",,,
Bloodvein River Post,Post,"51.78° N, 96.72° W","The Blood River Post was a Hudson's Bay Co. post located at the mouth of the Bloodvein River at Lake Winnipeg, also known as Bloodvein River Post (1794-1795).",,,
Blueberry Patch,Traditional Settlement,"52.55° N, 100.22° W","The Province of Manitoba, has included the traditional blueberry picking grounds of First
Nations and Métis people within the Swan Pelican Provincial Park and the surrounding area is
are within “unoccupied Crown lands.” This patch was traditionally used by the First Nations and
Métis of Pine Creek, Camperville and Duck Bay.",,,
Boggy Creek & San Clara,Road Allowance / Displaced,"51.54° N, 101.35° W","San Clara (St. Claire) and Boggy Creek are located north of Roblin, Manitoba and west of the Duck Mountain Provincial Forest.
Prior to the 1870’s, the Cree, Ojibway and Métis First Nations inhabited the Roblin
area. Early settlement patterns were intimately linked to the fur trade and related
transportation networks. The Pelly Trail and the Shell River facilitated the marketing of
furs hunted in the Duck Mountains. In the early 1880s, the Métis concentrated their land
claims around San Clara and Boggy Creek.
With the advent of community pastures under the Prairie Farm Rehabilitation Act;
the Métis living on what became the San Clara Community Pasture were displaced in
the late 1930s. Families such as the Jeromes, Langans, Luciers, Ledoux, Carrière and
Villeneuve were displaced from their lands. A 1958 census documented 950 Métis
living in the San Clara area.
",,,
"Brandon House, and Fort Assiniboine Manitoba",Traditional Settlement,"49.6650° N, –99.5686° W","From: A.E. Brown, “The Fur Trade Posts of the Souris-Mouth Area” Manitoba Historical Society Transactions, Series 3, 1961-62.

John Macdonell's Journal, written as he traveled inland with bourgeois Cuthbert Grant Sr. records the details of the push west in the fall of 1793:

""Thursday 5th September - (1793) - Overtook D. McKay and his Hudson's Bay Party in the Rapid of Sault a la Biche St. Andrew's Rapids.

September 11th, Wednesday - The Strip of Wood that lines the River has now got so large that we remain in the canoes as it might be troublesome to find them when required. Passed the site of an Ancient Fort de La Refine. The spot on which it stood can scarcely be known from the place being grown up with wood.

Saturday 21st ... I set out on foot for Fort (Pine Fort) distant ten leagues and arrived at it, two hours before sunset. Starvation worse at the Fort than along the road. The people who were out in various directions looking for Indians with
 
provisions returned on the 26th with nine lodges of Assinibouans well loaded the pieces of meat ...

Monday, September 30th - Left the Pine Fort on foot having a few horses to carry our provisions and bedding, for we are not to sleep with the canoes any more ...

Tuesday, 1st October - Mr. C. Grant placed Auge in opposition to Mr. Ranald Cameron, whom Mr. Peter Grant settled at a new place two miles above the mouth of the River La Sourie; a small river from the S.W. that empties itself into the Assinibouan River.""

As Macdonell and Grant proceeded west to the Qu'Appelle, Donald McKay of the Hudson's Bay Company was pressing hard towards a favourable location for his fort. The Hudson's Bay Company records show that the foundations of the new post were laid on October 16, 1793, and at five the same afternoon it was ""baptized Brandon House"".
","The exact location of the Brandon House founded this day is in some doubt, but we know that it was on the northeast bank of the Assiniboine. The Brandon House of Peter Fidler's day (1816) was several miles upstream from the original North West post for which we have a precise distance of two miles from the Souris mouth in John Macdonell's Journal quoted above, as well as a latitude reading from David Thompson's Journal of 1797. It is plain that so great a distance, as well as difficulties of terrain along the north bank, simply do not jibe with three separate items of written evidence. In May, 1794, the spring following the establishment of these posts, John Macdonell was returning east with Cuthbert Grant, Sr., the bourgeois in charge of the spring brigade. Macdonell's journal relates:

""May 6, 1794, arrived at Auge's River la Souris Fort; sun an hour high. Auge has sad complaints against his H.B. opponent, Mr. Donald, alias ""Mad"" McKay ...

By order of Mr. Grant I took down three or four or five declarations of his own men against Mr. Donald McKay, in consequence of which we took him prisoner for firing at Auge and laying in ambush for his life. I was his guard and slept with him at night.

Mr. Grant allowed Mr. McKay, le malin, to go home, seal his journal and write to his chief, Mr. McNabb. I went with him and, according to his promise, came back quietly with me. .

Left River la Sourie after breakfast with 14 canoes and 3 boats. Mr. Grant thought proper to release Mr. Donald McKay, so we did not embark him, and he was so pleased with recovering his liberty that it was at his house we breakfasted by his particular request.""

These entries clearly imply that Auge's North West post and McKay's Brandon House were in close proximity. This was a brief stop, yet Macdonell takes a declaration from McKay's ""own"" men with little inconvenience. Further, they breakfasted at Brandon House on McKay's invitation before embarking. This would have been impossible if the Hudson's Bay post had been three or four difficult miles upstream.

The following winter, Robert Goodwin, who succeeded Donald McKay in the position of Post Master at Brandon House writes on January 6, 1795: ""We are four houses here, and very little made at any of them yet.""

William Yorstone was the man in charge at Brandon House in mid-May of 1810 (when the journal begins), at which time, the postmaster, John McKay, lay dying. McKay's death and burial are duly recorded in the entries for July 5, 6 and 7. Yorstone continued in charge of the post; and his daily journal, faithfully kept, continues until May 23, 1811 when the Selkirk Papers copy ends. From it we learn that the North West Company did not return to compete in the area until sometime after the spring of 1811, but remained at their Pine Fort location to which Larocque had transported them in 1807. This post is mentioned frequently in this 1810-11 Brandon House Journal, and their gregarious Mr. John Pritchard was a visitor at Brandon House on several occasions. The rival companies seemed to enjoy an era of peace and co-operation in these years,
 
for a Hudson's Bay official for the district wrote directing the men at Brandon House to have some work done by the blacksmith at Pine Fort, as the Nor'westers owed them a favour.
For purposes of clarifying the proper location of the site of the Brandon House of 1816, this journal is of the utmost significance; for in it we have a detailed account of a move upstream and across the river which took place in the spring of 1811. There are many references to moving buildings, ferrying supplies, and to men making bales at the ""old house"" or laying out new buildings at the new. It would seem that this journal does, in fact, give a full account of the move from the original location on the north bank opposite the mouth of Five Mile Creek, to the big site in Morgan's field-more than three miles upstream, and on the southwest bank. This would mean that the North West Company's Fort La Souris of 1816 must have occupied the site on the northeast side of the river that was for so long believed to have been the site of Brandon House from 1793 to 1818.

Fidler's account of the post’s location reads: ""Brandon House - 6 miles above the Souris River on the south side ..."" In providing further details about the establishment, he says that it is in ""a ruinous state occasioned by the war brules in 1816"", and goes on to say that ""a small new house was built here last summer 30 x 14 ft. There are a smith and coopers shops also a trading room, provisions stores and 2stables with houses for men and Indians when they came to the Houses to trade.""",,
"Calf Mountain (Tete de Boeuf), Little Dance Hill",Traditional Settlement,"49.18094° N, 98.38606° W","Calf Mountain, called Tete de Boeuf, Buffalo Head, and Pilot Mound, is just south of Darlingford, Manitoba. It has an elevation of 1550 feet. Pilot Mound was in the heart of Indian country in the days of the Hudson's Bay Company. The Plains Indians called the Mound “Little Dance Hill,” Mepawaquomoshin. They came great distances to hold their ceremonial dances on its summit.

During the first half of the 19th century the area was well known to the buffalo hunters of the old Red River Settlement and was a stopping point as well as a hunting location. Various clashes resulted between the buffalo hunters and the Sioux with a fierce battle being fought on the northern slopes of the Old Mound in the mid 1850s.\","A local legend, recorded by settlers about 1878, states that in the 1850s the Sioux were defeated by Red River buffalo hunters in a skirmish near the hill.
The buffalo hunters were camped at Barbour's Lake preparing to hunt a large herd of Buffalo, which was located in the area and had driven them northward to the edge of the bush. Finding two of their members missing and their horses and rifles gone, it was later learned the Sioux had killed them. As night was falling the hunters returned to camp.
The next day, the hunters advanced in strength toward the Mound. The Sioux were assembled a little over a half-mile north of the Mound. Here the battle took place, a running fight, on horseback in Indian style, which resulted in the complete defeat of the Sioux.

Legend has it that five hundred and ninety-seven were killed and buried on the western slope of the Old Mound. Two survivors were allowed to carry the story of the massacre back to their people. When the fight was over there were 1500 buffalo hunters on the Mound.

A party of Sioux came up from the south during the early days of white settlement and carefully examined the burial place of their people on the slope of the hill. In recent years, descendants of the slain warriors drive from Belcourt, North Dakota, to hold a memorial ceremony on the Mound each fall. They welcome local people to come with them as they walk over the Mound, hold a smudging ceremony, scatter tobacco and offer food for their ancestors.
In 1909, Henry Montgomery, an Anthropologist from the University of Toronto dug into the mound and to the consternation of Aboriginal people removed many artefacts. His article published in 1910 in the American Anthropologist, N.S. 12, 1910: 49-57.",,
Camperville,Traditional Settlement,"51.987846, -100.147958","Camperville and Duck Bay, on the northwest shore of Lake Winnipegosis, are inseparable in their history. Swampy Cree and Saulteaux inhabited the area. It was an ideal place to trade, fish and hunt. Later, York boats and barges replaced canoes on these inland waterways. These were manned by Indians and Métis from Red River and Métis settlements in the south, at St. Ambroise and St. Laurent. The Hudson's Bay Company requested Roman Catholic and Protestant missionaries to accompany employees on their long journeys ministering to their spiritual needs. Early missions in the Camperville and Duck Bay area were Roman Catholic, but to the north, at Shoal River, and the east, at Fairford, the Anglicans established missions in 1855 and 1842 respectively.

The earliest of the Camperville and Duck Bay Settlements can be traced back to families of the Métis who at one time lived in Red River and the more western districts such as St. François Xavier (then known as la Prairie du Cheval Blanc or White Horse Plains), St. Ambroise and St. Laurent. These people, in quest of work and adventure became employees of the Hudson's Bay Company, and gradually found permanent places in small settlements along Lake Winnipegosis.

Salt deposits are located eight miles north of the present-day town of Winnipegosis and also across the lake at Salt Point. It was here that some of the Métis remained to prepare salt by an evaporation process for the Hudson's Bay Company. This area was given the name La Saline, and some present residents remember evidence of the “cribs” at Flett's Point in the 1920s. Early permanent settlement resulted from this enterprise, as many of these Métis married Cree and
 
Saulteaux wives and remained there. On August 28, 1871, an Indian treaty was signed at Manitoba House, which created Pine Creek Reserve.

One of the early missionaries, who traveled in this area, using St. Laurent as a starting point, was the Rev. C. J. Camper. By that time the Hudson's Bay Company had established a post at present-day Camperville on what is now Lot 6, under the management of a Mr. McKenzie. Isaac Cowie, in his book The Company of Adventurers, states that in 1867, “there was an outpost of Shoal River at Duck Bay on Lake Winnipegosis.” With the encouragement of Father Camper, more Métis from the St. Laurent area began to settle there. Eventually this settlement became known locally as Camperville in honor of the ministrations of Father Camper. However, it wasn't until around 1914 that this name was used on the map rather than the previous designation as Pine Creek. The Hudson’s Bay Company store was on Lot 6 in Camperville, but it was sold to Magloire de Laronde in 1908.

Under the direction of Father Camper, a small wooden building was erected for church services and school. The first resident priest was the Rev. J. A. Dupont O.M.I., and on September 8, 1886 the first parish register was begun, with the baptism of a Metis-Sioux named Herman McKay. On January 22, 1894, the little settlement saw the arrival of the Rev. St. Germain, accompanied by the Rev. Adelard Chaumont, who began work on a residential school for the Indian and Métis children.",,,
Catfish Creek,Traditional Settlement,"49.8738, -97.1878","This creek flows from the northwest into the Assiniboine River. It runs beside what is now Polo Park in Winnipeg. It is the location where Cuthbert Grant and his men left the Assiniboine River to take their carts north to Frog Plain in 1816 prior to the Battle of Seven Oaks. It was later renamed Omand’s Creek after John Omand (1823-1905) who had the river lot where the creek was located (Park Lot G and Lot 45, St. James).",,,
Cayer,Traditional Settlement,"51.30249, -99.13880","Cayer was a Métis community north of Lonely Lake, later named Eddystone, east of Dauphin, northeast of McCreary. It is named for Narcisse K. Cayer. In Jean Legasse’s survey of 1959 there were 150 Métis living at Cayer.",,,
Cedar Lake (Chemanwawin),Traditional Settlement,"53.33° N, 100.17° W","This settlement was on the west shore of Cedar Lake which is on the Saskatchewan River above Grand Rapids.
Due to the development of the Grand Rapids Hydro Project these residents were
flooded out and lost their livelihood. The Cree of Chemawawin1 Reserve and the Métis
community were moved to Easterville in the early 1960s. In all, 55 families were
moved, 43 First Nations and 12 Métis. They were provided with new homes and
buildings on what was deemed a town site unsuitable for subsistence. Financial
compensation for the band was only $20,000. The community received only vague
promises from the Provincial Government to maintain the income of the people and
improve the economy and to undertake studies with regard to economic development.
Even these promises went unfulfilled. Note that at this time the Métis had no provincial
political representation as the Manitoba Métis Federation did not yet exist. The people
of the area were at a great disadvantage, most of the Cree and Métis population did not
speak English and they were not provided with technical support for the negotiations. In
1958 a census documented 87 Métis living at Cedar Lake. See also, Martin Loney, “The
Construction of Dependency: The Case of the Grand Rapids Hydro,” Canadian Journal
of Native Studies, Vol. VII, No. 1, 1987: 57-78. In 1958 a census documented 87 Métis
living at Cedar Lake.
",,,
Cold Lake,Road Allowance,"55.12403° N, –101.08662° W","Cold Lake, or Kississing in Cree, was a Métis road allowance community located south of Sherridon, Manitoba (then a mining town) on Kississing Lake, 800 km. northwest of Winnipeg. Senator Ed Head of Manitoba Métis Federation recalled: “My parents were married in The Pas. They went to Cranberry Portage and from there walked to Cold Lake, Manitoba (just south of Sherridon).” “The place we lived was nicknamed 'Moccasin Flats.' That's where the Métis lived, and it was always the way the Métis lived. They called us 'Road Allowance Indians',” Ed explains. They had settled there because Ed's grandfather had moved there. His father did odd jobs for Sherritt-Gordon then was hired as a miner. Ed's grandfather had a guiding business and guided the Sherridon Mine Manager into the mine, overland from Cumberland House. “Cumberland House was the main juncture going into the North in the late 1800's,” says Ed. “Eldon Brown, the prospector who discovered the ore body at Sherridon came through Cumberland House and needed a guide. My great-grandfather was busy, so my grandfather, James Sayese, met up with Brown and became his guide. He worked for Brown as a personal guide for a long time. Later he went to work for Sherritt-Gordon.” Ed recalled that often they would be asked to move from the road allowance but would just move further down the road and cut more logs to rebuild their homes. A 1958 census documented 132 Métis living at Cold Lake and Sherridon.",,,
Cooks Creek,Traditional Settlement,"50.01821, -96.77339","Cooks Creek was named after Joseph Cook who lived at the confluence of the Red River and Cooks Creek. It enters the Red River north of East Selkirk. The community formed by Ukrainian settlers is on the Creek southeast of Lockport. A school under Joseph Cook (1788-1848) was opened in 1834 at Sugar Point (Mapleton-Selkirk) and people were encouraged to build houses and learn to farm. The log school-house (6 x 12 meters) also functioned as a teachers residence, and had a loft that doubled as a granary. Cook was the first teacher, with 32 children attending.
 
St. Peter’s Anglican Mission was started at the Cook’s Creek location in 1833 by Reverend William Cochrane on land donated to the CMS by Chief Peguis. The first church was built in 1836, Chief Peguis was baptized there in 1838. By 1850 there were about 500 residents with 230 acres of land under cultivation on narrow river lots adjoining the church. The present day stone church, St. Peter Dynevor, was constructed 1852-54.",,,
