Location Name,Latitude,Longitude,Description,Story,Founded,Community Type
Catfish Creek,50.4022° N,96.3478° W,Flows into the Assiniboine River near present-day Polo Park. Historically significant as the location where Cuthbert Grant and his men left the river to move north to Frog Plain in 1816.,The Strategic Turn: An action-focused historical piece about Grant’s maneuver at Catfish Creek to bypass the HBC monopoly and prepare for the battle at Seven Oaks.,#N/A,Geographic Landmark
Cayer,51.3533° N,99.0308° W,"A Métis community located northeast of McCreary and east of Dauphin. Named for Narcisse K. Cayer, it had a population of 150 Métis residents in 1959.","The Settlement of Cayer: A story focused on 1950s life in Cayer, highlighting the social fabric and independence of this self-sufficient northern community.",1950s (Documented),Settlement
Cedar Lake (Chemanwawin) Métis Settlement,53.1833° N,99.2833° W,"A self-sufficient community on the west shore of Cedar Lake, its name derived from the Cree word for ""a place for fishing with nets"". In the early 1960s, the entire settlement—composed of 43 First Nations and 12 Métis families—was flooded out by the Grand Rapids Hydro Project. They were relocated to Easterville on a townsite that was deemed unsuitable for their traditional subsistence lifestyle. The community received only $20,000 in compensation and vague, unfulfilled promises of economic aid from the provincial government.","The Sunken Village: A heartbreaking narrative following a Métis Elder who returns to the shore of the hydro reservoir. He watches the water where his home and the sturgeon fishery once existed, reflecting on the 1962 relocation where his family, who did not speak English, was pressured into signing documents they didn't understand, leading to the construction of permanent government dependency.",Ancient; Relocated 1960s,Settlement (Flooded)
Charleswood (St. Charles Parish),49.8517° N,97.2831° W,"The location of ""The Passage,"" a natural ford for Red River carts. Among the earliest settlers on the river lot farms were the Beauchemin, Hogue, and Morrissette families.","Bypassing the Forks: A story about independent traders in the 1840s using ""The Passage"" in Charleswood to bypass the HBC monopoly at the Forks.",Early 1800s,Parish / Settlement
Choteau,47.8122° N,112.1831° W,Listed in the Virtual Museum as a significant Métis community in Montana. Associated with the Four Persons community.,Frontier Ties: A story explores the kinship links between the Red River Métis and the Montana settlements like Choteau during the late 19th-century migrations.,Late 1800s,Settlement
Cold Lake,54.4642° N,110.1825° W,"A road allowance community south of Sherridon known as ""Moccasin Flats"". Residents worked in mining and guiding but were denied land titles. Senator Ed Head recalled rebuilding log homes further down the road whenever they were forced to move.","The Guiding Ghost: A story based on James Sayese, who guided the discovery of the Sherridon Mine but lived in a shack on the road allowance because he wasn't allowed to own land.",#N/A,Road Allowance Community
Cold Lake (Kississing),55.1311° N,100.8683° W,"A road allowance community south of Sherridon known as ""Moccasin Flats"". Residents worked in mining and guiding but were denied land titles. Senator Ed Head recalled rebuilding log homes further down the road whenever they were forced to move.","The Guiding Ghost: A story based on James Sayese, who guided the discovery of the Sherridon Mine but lived in a shack on the road allowance because he wasn't allowed to own land.",Early 1900s,Road Allowance Community
Cooks Creek,50.0089° N,96.7561° W,"Site of St. Peter’s Anglican Mission established on land donated by Chief Peguis. By 1850, it was a productive community with 500 residents living on narrow river lots practicing agriculture.",Peguis’ Sanctuary: A narrative about the collaboration between Chief Peguis and Anglican missionaries to build a farming sanctuary for his people at Cooks Creek.,1833,Mission / Settlement
Cormorant,54.2181° N,100.6033° W,"Located north of The Pas on Cormorant Lake, this is a historic Indigenous campsite and fishing area. In 1959, it had 169 Métis residents and was key to managing the Summerberry Marsh trapping.","The Summerberry Trappers: A narrative centered on the seasonal trapping cycle in the marsh, seen through the eyes of a Cormorant family during the peak years of the northern trade.",Historic,Settlement
Cranberry Portage,54.5889° N,101.3789° W,"A 2,000-year-old portage between the Grassy River and Lake Athapapuskow. Métis trapper David Collins is credited with showing prospectors the claim that became the Flin Flon mines.","The Billion-Dollar Claim: A historical account following David Collins, exploring the irony of a trapper discovering a massive mining complex while receiving only a pittance in return.",Ancient; 1804 (Post),Settlement / Trading Post
Crane River (O-Chi-Chak-Ko-Sipi),51.5286° N,99.2789° W,"Located on the northwest shore of Lake Manitoba. Historically, Métis and First Nations gathered here to collect salt. It borders the Crane River First Nation.","The Salt Expedition: A story of traditional salt-harvesting trips to Crane River, highlighting the shared labor and community ties of local families.",Historic,Settlement
Crescentwood,49.8697° N,97.1681° W,"Originally composed of long Métis river lots south of the Assiniboine River in Winnipeg. Wealthy development starting in 1902 displaced original residents, pushing them toward Rooster Town.","The Advancing Suburb: A historical drama about a Métis family watching the surveyor’s stakes for the new suburb advance toward their river lot, signaling the end of their way of life.",Pre-1870 (Lots); 1902 (Suburb),Settlement (Displaced)
Cumberland House,53.9583° N,102.2667° W,A major fur trade juncture established in 1774. It was the main route into the North in the late 1800s.,Gatekeeper of the North: A story about life at Cumberland House as a central hub where brigades and prospectors met guides like James Sayese.,1774,Fort / Trading Post
Curling River Post,50.5983° N,96.3117° W,Established by Peter Fidler's son Charles to compete with NWC posts near Minnedosa. It was located on the Curling (now Rolling) River.,Fidler’s Stand: A rivalry story between the young Charles Fidler and the NWC traders at the nearby Desjarlais House during the height of the fur trade wars.,1817,Trading Post
Cypress Hills,49.6333° N,109.5000° W,A vital seasonal hunting ground and settlement area for the plains Métis. Hivernant families and brigades utilized the area extensively.,The Winter Brigade: A narrative detailing the lives of Métis families like the Dubois or Bonneaus during their wintering seasons in the Cypress Hills.,Historic,Settlement (Wintering site)
Deer Rapids,50.1833° N,96.8833° W,"The location of early Indian and Métis settlements on the Red River, later known as St. Andrews.",Limestone Sanctuary: A story following a family choosing the safety of Deer Rapids' high ground during a major flood year while central settlements are swept away.,Historic,Settlement
Dog Head Settlement,51.7456° N,96.9083° W,Located on the east shore of Lake Winnipeg; home to itinerant Métis such as prospector Louis Simard Sr.. Simard held claims in several mining shafts like the San Antonio.,"Simard’s Claim: A narrative following a northern prospector as he travels the rugged shores of Lake Winnipeg, searching for gold while maintaining his connection to his community.",1901 (Documented),Settlement / Trading Post
Dog Patch,49.9000° N,97.1500° W,A road allowance community in Winnipeg near the CPR Weston shops. Created as Métis were displaced by industrial expansion and urban development.,"Shanties by the Tracks: A narrative exploring the daily life and survival strategies of the ""Dog Patch"" community on the edge of the expanding industrial rail yards.",Early 1900s,Road Allowance Community
Duck Bay (Zhiishiibi-Ziibiing),52.0161° N,100.0097° W,A centuries-old gathering place on Lake Winnipegosis known for salt springs and fisheries. Many members took scrip in 1885 but unsuccessfully petitioned to return to Treaty status in 1893.,The Scrip Petition: A historical legal drama about the 1893 petition of the Duck Bay Métis as they struggle to reclaim their rights after being misled into taking scrip.,#N/A,Settlement
Baie de Canard,52.0161° N,100.0097° W,A centuries-old gathering place on Lake Winnipegosis known for salt springs and fisheries. Many members took scrip in 1885 but unsuccessfully petitioned to return to Treaty status in 1893.,The Scrip Petition: A historical legal drama about the 1893 petition of the Duck Bay Métis as they struggle to reclaim their rights after being misled into taking scrip.,Ancient; 1859 (Post),Settlement
Duck Mountain,51.6667° N,100.8333° W,"A significant geographic area for fur trade and Métis settlement, notably around San Clara and Boggy Creek.",Forest Harvest: A story about the families who marketed furs hunted in the Duck Mountains via the Pelly Trail and Shell River.,Historic,Geographic Landmark
Easterville,53.2300° N,99.2447° W,"The relocation site for families from the flooded Cedar Lake community. The townsite was deemed unsuitable for their traditional way of life, leading to government dependency.",Resilience at Easterville: A modern story following a younger generation as they rediscover the traditional fishing skills of their Cedar Lake ancestors in a new land.,Early 1960s,Settlement (Relocated)
Eddystone,51.1717° N,99.0439° W,"Originally called Lonely Lake; in 1938, residents collaborated to build the St. Thomas Aquinas Catholic Church. Land was donated by Jim Spence.",The Church of Lonely Lake: A story of community labor and faith as families build their own sanctuary during the height of the Great Depression.,1938 (Church),Settlement
Edmonton House (Fort Augustus),53.5444° N,113.4909° W,A major northwestern trade hub and destination for Red River families moving west.,The Long Trail: A story following a Red River cart brigade from St. Andrews to Edmonton as families seek new farmland and opportunities in the west.,1795,Fort / Trading Post
Fairford Settlement (formerly Pinaymootang),51.6033° N,98.4839° W,A mission and trading post where trade relations were notoriously tense in the late 1700s. Duncan Cameron wintered there in 1795-96.,"The Tense Trade: A narrative about the ""fighting trade"" of 1796 at Fairford, focusing on the fierce competition between independent traders and companies.",1795 (Post); 1842 (Mission),Mission / Trading Post
Fish Creek,52.5486° N,106.1367° W,Flows into the Assiniboine River near present-day Polo Park. Historically significant as the location where Cuthbert Grant and his men left the river to move north to Frog Plain in 1816.,The Strategic Turn: An action-focused historical piece about Grant’s maneuver at Catfish Creek to bypass the HBC monopoly and prepare for the battle at Seven Oaks.,Historic,Historic Site
Flee Island Entrenchments,50.1000° N,98.0833° W,Fortified camps built by Dakota refugees in 1864. They featured circular trenches and pits where women and children took refuge during attacks by bounty hunters.,The Ring of Pits: A survival story follows a Dakota family taking refuge in the trenches while being hunted after the 1862 uprising.,1864,Historic Site (Defensive)
Fond du Lac (now St. Laurent),50.4194° N,98.0050° W,Established by Métis forced to leave Pembina when it became American territory. Residents maintained a strong Michif identity despite church and school pressure to adopt standard French.,Persistence of Michif: A linguistic drama set in a schoolroom where Métis students secretly maintain their language despite authorities' pressure to change.,1824,Settlement
Fort Alexander (Sagkeeng),50.6053° N,96.2917° W,Originally an HBC post built to counter the NWC's Bas-de-la-Rivière. It was a key provisioning post where pemmican from the upper Assiniboine was stored for northwestern brigades.,"The Pemmican Depot: A narrative about the strategic importance of Fort Alexander as the ""gas station"" of the northern canoe routes.",1793,Fort / Trading Post
Fort Dauphin,51.1486° N,100.0531° W,"Established in present-day Winnipegosis by Chevalier de la Vérendrye. Explorer Peter Fidler died here in 1822. Later known as ""Dogtown"".","Fidler’s Final Map: A historical piece focusing on the final days of Peter Fidler at Fort Dauphin, reflecting on his decades of exploration.",1741,Fort / Trading Post
Fort de la Rivière Tremblante,51.4833° N,101.6333° W,"Built by Robert Grant, it was Cuthbert Grant Sr.'s favorite residence and a key provisioning post for brigades. Departed in 1798 due to intense competition.","Winter at the Tremblante: A story about the winter social life at Cuthbert Grant Sr.'s favorite post, set against the harsh conditions of the upper Assiniboine.",1791,Fort / Trading Post
"Fort de la Rivière Tremblante (Grant’s House, Aspin House)",51.4833° N,101.6333° W,"Built by Robert Grant of the North West Company in 1791, this post was situated on the Upper Assiniboine River near the mouth of the Rivière Tremblante. It became the favorite residence of Cuthbert Grant Sr. when he took charge of the district in 1793. The fort functioned as both a source of high-quality furs and a provisioning depot for brigades heading to Athabasca country. Grant abandoned the post in 1798 due to extreme competition from 14 other rival posts in the immediate region.","Grant’s Favorite Post: A historical drama set during the winter of 1794. The plot focuses on the domestic life of Cuthbert Grant Sr. as he manages the logistics of a major provisioning post while navigating the tensions of the ""fur trade wars."" The story culminates in his decision to abandon his beloved fort as the market becomes overcrowded with competitors, signaling the end of an era on the Upper Assiniboine.",1791,Fort / Trading Post
Fort des Épinettes,49.6167° N,99.2333° W,A major depot on the Assiniboine used for Mandan trade. Abandoned in 1781 after a smallpox epidemic.,The Smallpox Winter: A historical tragedy depicting the final days of the first fort as a smallpox epidemic sweeps through the camp.,1768,Fort / Trading Post
Fort Desjarlais,49.1233° N,100.4167° W,Built by Joseph Desjarlais and protected by an oak palisade. It was a major supplier of pemmican and whiskey.,The Independent Trader: A historical thriller centered on the 1846 seizure of furs at Fort Desjarlais by Cuthbert Grant during a crackdown on illicit trade.,1836,Fort / Trading Post
Fort Ellice,50.4786° N,101.2722° W,Established on the Qu’Appelle River; it served as the headquarters for the Swan River District. Managed by famous Métis traders like the McKays.,"The McKay Dynasty: A narrative focused on the John Richard McKay family at Fort Ellice, depicting their role as powerful intermediaries.",1794,Fort / Trading Post
Fort Gibralter,49.8903° N,97.1303° W,Built at the Forks by the NWC; seized by Louis Riel in 1869. Site for meetings of the Legislative Assembly of Assiniboia.,The Assembly at the Forks: A political drama set inside the fort in 1870 as the provisional government debates joining Canada.,1810,Fort / Trading Post
Fort la Reine,49.9625° N,98.3106° W,"Established near a buffalo crossing and sturgeon fishery. Home of Chief Peichito Tanner, who operated 250 Red River carts.",Tanner’s Cart Train: A story about Peichito Tanner’s massive freighting operation moving goods across the plains.,#N/A,Fort / Trading Post
Fort la Reine (Portage la Prairie),49.9625° N,98.3106° W,"Established near a buffalo crossing and sturgeon fishery. Home of Chief Peichito Tanner, who operated 250 Red River carts.",Tanner’s Cart Train: A story about Peichito Tanner’s massive freighting operation moving goods across the plains.,1738,Fort / Trading Post
Fort Langley,49.1678° N,122.5808° W,Listed in the Virtual Museum as a significant Métis location.,"Coast to Coast: A narrative linking the plains Métis with their kin at Fort Langley, highlighting the vast reach of the family networks.",Historic,Fort / Trading Post
Fort Montagne à la Bosse,49.8167° N,100.8667° W,Built on the Upper Assiniboine near buffalo wintering grounds. Buffalo could be seen grazing from the fort gate at almost any season.,"Harmon’s Enchanted Abode: A narrative about the ""enchanted abode"" described by Harmon where buffalo are always in view from the gate.",1790,Fort / Trading Post
Fort Mr. Grant,49.3333° N,100.9833° W,Built by Cuthbert Grant after the HBC closed Brandon House. Used to trade with Métis and Indians from Turtle Mountain to Qu’Appelle.,"Warden of the Plains: A standoff story set in 1824, where Cuthbert Grant uses his authority to protect his trade from American encroachment.",1824,Fort / Trading Post
Fort Pelly,51.7833° N,101.9833° W,Headquarters for the Swan River District before being replaced by Fort Ellice.,"District Hub: A story follows a trader moving between Pelly and the surrounding outposts, documenting the logistical challenges of the Swan River trade.",1824,Fort / Trading Post
Fort Pinancewaywining,49.2000° N,98.0167° W,Located south-west of Morden; first post supplied by Red River Carts from Pembina. Built by Alexander Henry the Younger.,"First Cart from Pembina: A story about the very first cart caravan to arrive, marking the birth of overland transportation in the region.",1802,Fort / Trading Post
Fort Rouge,49.8858° N,97.1325° W,Located at the south point of the Forks; originally river lots owned by Métis families. Residents were displaced by suburban expansion.,The Lost River Lots: A historical mystery exploring how the original Métis owners of Fort Rouge were systematically displaced by land speculators.,1738,Fort / Trading Post
Fort Souris,49.6667° N,99.5833° W,Built on the Souris River for Mandan trade. Abandoned when HBC built Brandon House but later re-established.,The Mandan Trade: A story about the competitive race in 1793 to reach the lucrative Mandan trade before the HBC.,1793,Fort / Trading Post
Fort St. Charles,49.3608° N,95.0442° W,Built by La Vérendrye in the early 1730s; ruins discovered in 1902. Contained remains of La Vérendrye's son.,Discovery of the Ruins: A historical account following the 1902 discovery of the fort and the return of remains to St. Boniface.,Early 1730s,Fort / Trading Post
Fouillard Town (The Corner / Li Kwayn),50.4689° N,101.2989° W,"A road allowance community near Binscarth established by refugees from Ste. Madeleine. After their homes in Ste. Madeleine were burned in 1939 to make way for a community pasture, residents resettled on a former gravel pit that had once been part of the Gambler Reserve. The community was sarcastically named Selby Town after a municipal official responsible for their displacement. In 1946, the Fouillard Special School was built to replace the mission school they lost.","Salvaged Timber: A story of profound spiritual and physical resilience. As the families of Ste. Madeleine watch their village burn, they decide to save what they can. The plot follows a group of men as they physically dismantle logs from their original church to drag them to ""The Corner"" to rebuild the St. Hubert Church, ensuring that their faith and community identity survive the displacement.",1939,Road Allowance Community
Four Persons,49.9167° N,110.8333° W,"A community mentioned in the Virtual Museum as associated with Choteau, Montana.","Montana Refuge: A story explores the lives of the ""landless"" Métis in communities like Four Persons after the migrations from Red River.",Late 1800s,Settlement
Frog Plain (La Grenouillère),49.9400° N,97.1000° W,Traditional meeting place north of Seven Oaks. Site of annual rendezvous where partners met brigades bringing pemmican.,"The Annual Rendezvous: A story of the grand gathering at Frog Plain, capturing the music, dance, and commerce of voyageur brigades.",Early 1800s,Meeting Site / Rendezvous
